last_name,first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,FIELD16
Pujols, Albert,405395,2022,0.262,0.499,0.38,0.365,0.343,0.237,0.415,0.395,91.2,16.4,12,
Cabrera, Miguel,408234,2022,0.234,0.331,0.275,0.275,0.29,0.096,0.329,0.329,89.9,5,4.7,
Molina, Yadier,425877,2022,0.23,0.328,0.235,0.254,0.251,0.098,0.262,0.286,84.7,16.9,3.1,
Cruz Jr., Nelson,443558,2022,0.241,0.399,0.292,0.32,0.323,0.157,0.334,0.377,90.9,7.2,9.3,
Peralta, David,444482,2022,0.249,0.399,0.315,0.313,0.318,0.15,0.378,0.375,90.3,15.1,8.5,
Longoria, Evan,446334,2022,0.233,0.437,0.33,0.324,0.309,0.204,0.425,0.416,91.1,18.2,12.4,
Blackmon, Charlie,453568,2022,0.256,0.376,0.317,0.301,0.308,0.12,0.366,0.345,86.2,12.4,4.4,
Maldonado, Martin,455117,2022,0.181,0.325,0.264,0.253,0.245,0.144,0.343,0.326,88.4,14.7,8.1,
Chirinos, Robinson,455139,2022,0.168,0.281,0.251,0.245,0.255,0.113,0.303,0.293,84.8,17.6,6.9,
Solano, Donovan,456781,2022,0.268,0.393,0.319,0.315,0.325,0.125,0.368,0.364,88.3,10.7,5.9,
McCutchen, Andrew,457705,2022,0.252,0.406,0.309,0.325,0.329,0.155,0.348,0.371,89.1,13.2,8.6,
Turner, Justin,457759,2022,0.267,0.427,0.343,0.339,0.343,0.16,0.372,0.367,89.5,18.4,8,
Votto, Joey,458015,2022,0.218,0.39,0.31,0.322,0.331,0.172,0.351,0.372,89.7,14.2,11.1,
Andrus, Elvis,462101,2022,0.245,0.36,0.31,0.293,0.3,0.114,0.338,0.316,87.9,11.9,4.5,
Santana, Carlos,467793,2022,0.253,0.438,0.308,0.352,0.361,0.185,0.308,0.372,90.7,15.4,9.3,
Belt, Brandon,474832,2022,0.215,0.412,0.303,0.326,0.328,0.197,0.353,0.39,88.4,23.4,12.6,
Brantley Jr., Michael,488726,2022,0.31,0.467,0.345,0.374,0.39,0.158,0.345,0.383,89.8,10.7,6,
Gurriel, Yuli,493329,2022,0.24,0.319,0.285,0.271,0.286,0.079,0.297,0.28,88.2,14.6,1.9,
Rojas, Miguel,500743,2022,0.264,0.347,0.268,0.293,0.31,0.083,0.276,0.306,86.1,10.1,1.9,
Escobar, Eduardo,500871,2022,0.243,0.427,0.311,0.314,0.3,0.183,0.381,0.385,88.3,20.6,9.4,
Pham, Tommy,502054,2022,0.238,0.383,0.304,0.311,0.315,0.145,0.371,0.383,92.2,7.7,7.9,
Martinez, J.D.,502110,2022,0.26,0.471,0.343,0.349,0.33,0.211,0.42,0.429,89.1,14.1,12.5,
Goldschmidt, Paul,502671,2022,0.261,0.482,0.419,0.367,0.357,0.221,0.506,0.426,90.8,15.7,11.6,
Gonzalez, Marwin,503556,2022,0.217,0.345,0.257,0.282,0.286,0.128,0.302,0.341,88,19.4,5.9,
Altuve, Jose,514888,2022,0.269,0.44,0.397,0.354,0.362,0.171,0.425,0.367,85.9,16.1,7.7,
Hernandez, Cesar,514917,2022,0.248,0.329,0.283,0.29,0.312,0.081,0.307,0.317,84.8,9.3,2.4,
Segura, Jean,516416,2022,0.254,0.363,0.32,0.303,0.316,0.109,0.343,0.322,87.6,4.3,4.4,
Marte, Starling,516782,2022,0.276,0.428,0.355,0.336,0.332,0.153,0.412,0.386,86.8,7.5,6.8,
d'Arnaud, Travis,518595,2022,0.247,0.412,0.343,0.313,0.3,0.166,0.409,0.367,88.5,11.8,8.5,
Donaldson, Josh,518626,2022,0.215,0.37,0.302,0.299,0.303,0.154,0.363,0.36,90.7,12,9.8,
Freeman, Freddie,518692,2022,0.313,0.538,0.393,0.403,0.4,0.225,0.426,0.44,91.3,13.6,9.9,
Grandal, Yasmani,518735,2022,0.217,0.319,0.263,0.29,0.317,0.102,0.268,0.308,90,12.1,4.8,
LeMahieu, DJ,518934,2022,0.274,0.403,0.329,0.344,0.369,0.13,0.324,0.344,89.2,3,5.3,
Moustakas, Mike,519058,2022,0.195,0.307,0.286,0.27,0.281,0.112,0.337,0.311,87.6,19.4,6.1,
Rizzo, Anthony,519203,2022,0.239,0.454,0.352,0.349,0.35,0.215,0.379,0.374,89.4,19.3,10.9,
Stanton, Giancarlo,519317,2022,0.24,0.477,0.327,0.351,0.328,0.236,0.431,0.473,95,10.8,19.3,
Perez, Salvador,521692,2022,0.245,0.473,0.324,0.326,0.285,0.228,0.403,0.405,91.4,17.8,11.2,
Flores, Wilmer,527038,2022,0.233,0.37,0.312,0.31,0.322,0.137,0.326,0.323,87.8,20.7,6.3,
Garcia, Avisail,541645,2022,0.23,0.366,0.258,0.281,0.273,0.136,0.334,0.369,88.7,2.8,6.4,
Bethancourt, Christian,542194,2022,0.255,0.449,0.301,0.318,0.286,0.194,0.379,0.404,90.1,9.4,11.7,
Ozuna, Marcell,542303,2022,0.256,0.478,0.298,0.337,0.303,0.222,0.364,0.421,89.4,16.5,13.1,
Villar, Jonathan,542340,2022,0.208,0.283,0.25,0.247,0.262,0.075,0.306,0.304,89.6,-0.7,2.7,
Ortega, Rafael,542364,2022,0.241,0.346,0.305,0.307,0.334,0.104,0.327,0.331,87.2,17.1,4.8,
Aguilar, Jesus,542583,2022,0.24,0.393,0.288,0.298,0.288,0.153,0.35,0.364,87.7,19.1,6.9,
Berti, Jon,542932,2022,0.236,0.358,0.298,0.306,0.322,0.122,0.331,0.343,88,4.7,5.9,
Crawford, Brandon,543063,2022,0.217,0.339,0.289,0.287,0.3,0.122,0.322,0.319,88.1,12.3,6.7,
Cron, C.J.,543068,2022,0.244,0.438,0.335,0.321,0.306,0.194,0.428,0.408,88.7,14.2,10.8,
Gomes, Yan,543228,2022,0.251,0.379,0.271,0.287,0.278,0.127,0.306,0.326,85.3,9.4,3.4,
Grossman, Robbie,543257,2022,0.205,0.305,0.283,0.281,0.307,0.1,0.322,0.319,86.7,21.1,3.5,
Harrison, Josh,543281,2022,0.233,0.335,0.305,0.284,0.297,0.102,0.329,0.302,87.4,14.7,3.8,
